Name,Average Distance Centrality,Closeness Centrality,Decay Centrality,Diffusion Degree Centrality,Geodestic K Path Centrality,Laplacian Centrality,Leverage Centrality,Lin Centrality,Eigenvector Centrality,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Cluster,PC1,PC2
ORF59,2.4235294117647057,0.4029126213592233,17.6875,62,80,0.024542124542124545,0.09024943310657596,33.44174757281554,0.0788000533691424,69.32052404950375,0.021074983543566635,0.0963855421686747,0,0.13154266083319469,0.36981563747228113
ORF62,2.552941176470588,0.3824884792626728,16.25,46,77,0.018315018315018153,-0.37337662337662336,31.746543778801843,0.058799842202728624,37.374366175827035,0.005443483769960409,0.04819277108433735,0,-1.6306521271072045,0.5696216913588056
ORF67A,2.7294117647058824,0.3577586206896552,14.5,37,73,0.013919413919413755,-0.5683760683760684,29.69396551724138,0.04475904115479384,25.7228584528905,0.0005779214418650211,0.03614457831325302,0,-2.849169173473151,0.12439474197766416
ORF72,1.8,0.5424836601307189,26.5,216,83,0.18241758241758227,0.5484552227884529,45.02614379084967,0.3234926703972411,993.6992036885922,0.16539785729661644,0.30120481927710846,2,12.343606259676498,-4.40746443941966
K10.2,2.8588235294117648,0.34156378600823045,13.5,24,67,0.009890109890109725,-0.35714285714285715,28.349794238683128,0.028246628193849408,11.750637055442105,0.0018959774804076272,0.03614457831325302,0,-3.4695252899008238,-0.5859317495275949
ORF16,2.2823529411764705,0.42783505154639173,19.75,95,81,0.05128205128205129,0.230472087825029,35.51030927835052,0.1157814279845724,146.93342532666122,0.048177348120092306,0.13253012048192772,1,2.2773801575603505,-0.21651999107145292
ORF22,2.611764705882353,0.3738738738738739,15.9375,46,74,0.019047619047618883,-0.18484848484848485,31.03153153153153,0.06107882005886119,41.46378118283394,0.007163799566091662,0.060240963855421686,0,-1.6159774604266925,0.06051270399945996
ORF54,2.447058823529412,0.39903846153846156,17.375,59,79,0.023809523809523482,-0.1906862745098039,33.12019230769231,0.08108081853243897,68.88995189167532,0.00983467255618763,0.060240963855421686,0,-0.5716602714538717,0.6503441217490841
K11.1,2.9411764705882355,0.332,12.65625,19,64,0.006959706959706461,-0.8947368421052632,27.556,0.025370910005756524,8.145051628565497,0.0,0.012048192771084338,3,-4.513249791730674,-0.620900223851171
K14,2.5647058823529414,0.38073394495412843,16.1875,47,76,0.019413919413919085,-0.29147404319818115,31.60091743119266,0.06309818308027171,41.661679306455646,0.005318226058053145,0.04819277108433735,0,-1.5742879596019532,0.41637659742631794
ORF63,2.4235294117647057,0.4029126213592233,17.6875,62,80,0.027472527472527642,-0.1679431679431679,33.44174757281554,0.0860829969076543,75.28632720062888,0.010635566666145225,0.07228915662650603,0,-0.25045718318139304,0.6623246556881794
ORF66,2.823529411764706,0.3458333333333333,13.8125,29,68,0.011721611721611723,-0.40317460317460313,28.704166666666666,0.03985266216199414,19.523427842356558,0.0011517721185661238,0.03614457831325302,0,-3.242853816528723,-0.4607417450481963
K15,2.7058823529411766,0.36086956521739133,14.625,34,75,0.012820512820512655,-0.5419913419913419,29.952173913043477,0.052600041622177705,29.608591248124448,0.0005913316448138665,0.03614457831325302,0,-2.693690901407501,0.29858709174529247
ORF2,2.152941176470588,0.453551912568306,20.75,105,81,0.047985347985347995,-0.12685680332739155,37.6448087431694,0.1449108523458316,202.12620559208636,0.017541179143091598,0.0963855421686747,1,2.283342192966562,0.7294283931415415
ORF61,2.164705882352941,0.45108695652173914,20.6875,117,82,0.04981684981685016,0.0864021164021164,37.44021739130435,0.164513606165127,267.8752785143496,0.029987050726684474,0.13253012048192772,1,3.1226667289438406,0.15411388306109727
K2,2.3058823529411763,0.42346938775510207,18.9375,86,82,0.032967032967032975,-0.006002024291497977,35.14795918367347,0.10550188259465393,122.02107128714037,0.015622759327653567,0.10843373493975904,1,1.1089964491191286,0.6518709617041846
ORF27,2.788235294117647,0.350210970464135,14.1875,35,70,0.012820512820512655,-0.2866300366300366,29.067510548523206,0.04281518828720289,23.799509664162883,0.0029485284363333147,0.04819277108433735,0,-2.806289866258897,-0.3832705737951422
ORF48,2.223529411764706,0.43915343915343913,20.125,89,81,0.0428571428571427,0.04707227470385365,36.44973544973545,0.10287242087680466,112.75734046971736,0.03603552875859619,0.10843373493975904,1,1.8131900835737214,0.46645087538742663
ORF50,2.211764705882353,0.44148936170212766,20.0625,106,82,0.04322344322344306,0.040768685505527605,36.6436170212766,0.13559257890834236,193.10977779345893,0.01916335947015033,0.12048192771084337,1,2.2291524250995427,0.5050792316253582
ORF71,2.2705882352941176,0.43005181347150256,19.5625,93,82,0.04505494505494523,0.00418300653594771,35.69430051813472,0.11893259754487719,147.52249024487944,0.017704031943293508,0.10843373493975904,1,1.614694027893731,0.5413442770886331
ORF75,2.2823529411764705,0.42783505154639173,19.4375,84,82,0.04175824175824176,0.07841269841269842,35.51030927835052,0.09989972696563232,108.47156425513914,0.03923100624377908,0.10843373493975904,1,1.5652907745285907,0.32552480362334246
K3,2.552941176470588,0.3824884792626728,16.1875,52,76,0.02014652014651932,-0.611111111111111,31.746543778801843,0.07017813503372469,50.58519143473067,0.0007749913259757516,0.03614457831325302,0,-1.824602794237062,0.6330685485504495
K4,2.2941176470588234,0.4256410256410256,19.125,92,83,0.038095238095237766,0.07256609346392628,35.32820512820513,0.1091197973024277,140.54375418668224,0.016022669337866804,0.12048192771084337,1,1.4843686103326854,0.574001551347423
K6,2.235294117647059,0.4368421052631579,19.875,109,83,0.04615384615384583,0.08584838766424444,36.257894736842104,0.14018546003879584,214.32227709480316,0.019629999072541475,0.13253012048192772,1,2.390477498543197,0.3484461106572827
ORF23,2.541176470588235,0.38425925925925924,16.6875,64,76,0.026739926739926746,-0.227526395173454,31.89351851851852,0.07790010232558124,72.90960730534992,0.004825714460788778,0.07228915662650603,0,-0.9239611122049807,0.2032217390648031
ORF40,2.0,0.48823529411764705,23.3125,158,82,0.09816849816849835,0.3160373806850887,40.523529411764706,0.21495033429175964,449.49734500654733,0.08189930921870846,0.1927710843373494,2,6.5055464542411565,-1.305659091055284
ORF69,2.541176470588235,0.38425925925925924,16.5,59,75,0.020146520146519985,-0.17258064516129032,31.89351851851852,0.07368121097341579,61.68608186498778,0.0027296176576223586,0.07228915662650603,0,-1.0941798680443797,0.2311965802369821
